trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
block_1_trip_1_service_1,route_31,service_1,Wzgórza K.,"",1,block_1,,
block_1_trip_2_service_1,route_31,service_1,Salwator,"",0,block_1,,
block_1_trip_3_service_1,route_31,service_1,Wzgórza K.,"",1,block_1,,
block_1_trip_4_service_1,route_31,service_1,Salwator,"",0,block_1,,
block_1_trip_5_service_1,route_31,service_1,Wzgórza K.,"",1,block_1,,
block_1_trip_6_service_1,route_31,service_1,Salwator,"",0,block_1,,
block_1_trip_7_service_1,route_31,service_1,Wzgórza K.,"",1,block_1,,
block_1_trip_8_service_1,route_31,service_1,Salwator,"",0,block_1,,
block_1_trip_9_service_1,route_31,service_1,Wzgórza K.,"",1,block_1,,
block_1_trip_10_service_1,route_31,service_1,Salwator,"",0,block_1,,
block_1_trip_11_service_1,route_31,service_1,Wzgórza K.,"",1,block_1,,
block_1_trip_12_service_1,route_31,service_1,Salwator,"",0,block_1,,
block_1_trip_13_service_1,route_31,service_1,Wzgórza K.,"",1,block_1,,
block_1_trip_14_service_1,route_31,service_1,Salwator,"",0,block_1,,
block_1_trip_15_service_1,route_31,service_1,Wzgórza K.,"",1,block_1,,
block_1_trip_16_service_1,route_31,service_1,Salwator,"",0,block_1,,
block_1_trip_17_service_1,route_31,service_1,Wzgórza K.,"",1,block_1,,
block_1_trip_18_service_1,route_31,service_1,Salwator,"",0,block_1,,
block_1_trip_19_service_1,route_31,service_1,Zajezdnia Nowa Huta,"",1,block_1,,
block_9_trip_1_service_1,route_59,service_1,Czerwone Maki P+R,"",0,block_9,,
block_9_trip_2_service_1,route_59,service_1,Mały Płaszów P+R,"",1,block_9,,
block_9_trip_3_service_1,route_59,service_1,Czerwone Maki P+R,"",0,block_9,,
block_9_trip_4_service_1,route_59,service_1,Mały Płaszów P+R,"",1,block_9,,
block_9_trip_5_service_1,route_59,service_1,Czerwone Maki P+R,"",0,block_9,,
block_9_trip_6_service_1,route_59,service_1,Mały Płaszów P+R,"",1,block_9,,
block_9_trip_7_service_1,route_59,service_1,Czerwone Maki P+R,"",0,block_9,,
block_9_trip_8_service_1,route_59,service_1,Mały Płaszów P+R,"",1,block_9,,
block_9_trip_9_service_1,route_59,service_1,Czerwone Maki P+R,"",0,block_9,,
block_9_trip_10_service_1,route_59,service_1,Mały Płaszów P+R,"",1,block_9,,
block_9_trip_11_service_1,route_59,service_1,Czerwone Maki P+R,"",0,block_9,,
block_9_trip_12_service_1,route_59,service_1,Mały Płaszów P+R,"",1,block_9,,
block_9_trip_13_service_1,route_59,service_1,Czerwone Maki P+R,"",0,block_9,,
block_9_trip_14_service_1,route_59,service_1,Mały Płaszów P+R,"",1,block_9,,
