route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
route_31,agency_1,"1","",,900,,,
route_43,agency_1,"19","",,900,,,
route_46,agency_1,"22","",,900,,,
route_55,agency_1,"3","",,900,,,
route_58,agency_1,"9","",,900,,,
route_59,agency_1,"11","",,900,,,
route_62,agency_1,"24","",,900,,,
route_63,agency_1,"50","",,900,,,
route_69,agency_1,"18","",,900,,,
route_70,agency_1,"52","",,900,,,
route_616,agency_1,"99","",,900,,,
route_698,agency_1,"21","",,900,,,
route_736,agency_1,"76","",,900,,,
route_754,agency_1,"70","",,900,,,
route_755,agency_1,"74","",,900,,,
route_794,agency_1,"79","",,900,,,
route_806,agency_1,"4","",,900,,,
route_807,agency_1,"8","",,900,,,
route_808,agency_1,"13","",,900,,,
route_809,agency_1,"20","",,900,,,
route_924,agency_1,"12","",,900,,,
route_930,agency_1,"15","",,900,,,
