stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_183_6119,,"Bratysławska","",50.08373,19.93416,,,0,,,
stop_183_6129,,"Bratysławska","",50.084645,19.933583,,,0,,,
stop_184_6319,,"Krowodrza Górka","",50.088727,19.931257,,,0,,,
stop_186_7019,,"Dworzec Towarowy","",50.075988,19.940292,,,0,,,
stop_186_7029,,"Dworzec Towarowy","",50.075943,19.940326,,,0,,,
stop_186_7039,,"Dworzec Towarowy","",50.074994,19.93968,,,0,,,
stop_187_7119,,"Nowy Kleparz","",50.07349,19.93663,,,0,,,
stop_187_7129,,"Nowy Kleparz","",50.073508,19.936452,,,0,,,
stop_188_7219,,"Pędzichów","",50.069678,19.937536,,,0,,,
stop_188_7229,,"Pędzichów","",50.069646,19.937499,,,0,,,
stop_189_7319,,"Politechnika","",50.071341,19.945059,,,0,,,
stop_189_7329,,"Politechnika","",50.070807,19.945062,,,0,,,
stop_189_7339,,"Politechnika","",50.071143,19.945072,,,0,,,
stop_189_7349,,"Politechnika","",50.071056,19.945016,,,0,,,
stop_191_7719,,"Teatr Bagatela","",50.0631,19.932648,,,0,,,
stop_191_7729,,"Teatr Bagatela","",50.063806,19.933366,,,0,,,
stop_191_7739,,"Teatr Bagatela","",50.063755,19.932586,,,0,,,
stop_192_7819,,"Batorego","",50.066586,19.929432,,,0,,,
stop_192_7829,,"Batorego","",50.067023,19.928837,,,0,,,
stop_193_7919,,"Plac Inwalidów","",50.068728,19.926981,,,0,,,
stop_193_7929,,"Plac Inwalidów","",50.069585,19.925897,,,0,,,
stop_194_8319,,"Urzędnicza","",50.071879,19.919754,,,0,,,
stop_194_8329,,"Urzędnicza","",50.071957,19.91925,,,0,,,
stop_195_8419,,"Biprostal","",50.072862,19.916075,,,0,,,
stop_195_8429,,"Biprostal","",50.07309,19.915045,,,0,,,
stop_196_8719,,"Cichy Kącik","",50.062955,19.903385,,,0,,,
stop_197_8819,,"Uniwersytet Pedagogiczny","",50.074123,19.910791,,,0,,,
stop_197_8829,,"Uniwersytet Pedagogiczny","",50.07426,19.909991,,,0,,,
stop_198_8919,,"Bronowice","",50.077246,19.901982,,,0,,,
stop_198_8929,,"Bronowice","",50.077751,19.900684,,,0,,,
stop_198_8939,,"Bronowice","",50.077834,19.900593,,,0,,,
stop_202_12419,,"Cmentarz Rakowicki","",50.074262,19.957387,,,0,,,
stop_202_12429,,"Cmentarz Rakowicki","",50.072936,19.95609,,,0,,,
stop_203_12519,,"Rondo Mogilskie","",50.065782,19.959639,,,0,,,
stop_203_12529,,"Rondo Mogilskie","",50.065759,19.959864,,,0,,,
stop_203_12539,,"Rondo Mogilskie","",50.064865,19.959303,,,0,,,
stop_203_12549,,"Rondo Mogilskie","",50.064973,19.959357,,,0,,,
stop_203_12559,,"Rondo Mogilskie","",50.066002,19.958722,,,0,,,
stop_204_12619,,"Lubicz","",50.065186,19.952104,,,0,,,
stop_204_12629,,"Lubicz","",50.065046,19.951094,,,0,,,
stop_204_12639,,"Lubicz","",50.065436,19.951621,,,0,,,
stop_205_12719,,"Uniwersytet Ekonomiczny","",50.067608,19.952235,,,0,,,
stop_205_12729,,"Uniwersytet Ekonomiczny","",50.068328,19.952638,,,0,,,
stop_206_12819,,"Rakowicka (nż)","",50.070599,19.954319,,,0,,,
stop_206_12829,,"Rakowicka (nż)","",50.070893,19.95445,,,0,,,
stop_207_12919,,"Cystersów","",50.066523,19.970519,,,0,,,
stop_207_12929,,"Cystersów","",50.06654,19.969149,,,0,,,
stop_208_13019,,"Białucha","",50.067841,19.977991,,,0,,,
stop_208_13029,,"Białucha","",50.067597,19.977192,,,0,,,
stop_210_13319,,"Wesele","",50.078856,19.897857,,,0,,,
stop_210_13329,,"Wesele","",50.079235,19.896704,,,0,,,
stop_212_13519,,"Bronowice Małe","",50.08179,19.88192,,,0,,,
stop_213_31119,,"Salwator","",50.052708,19.913739,,,0,,,
stop_213_31129,,"Salwator","",50.052724,19.915028,,,0,,,
stop_213_31139,,"Salwator","",50.05263,19.917407,,,0,,,
stop_214_31319,,"Komorowskiego","",50.053412,19.9218,,,0,,,
