trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
block_6_trip_2_service_1,route_579,service_1,Chełmońskiego Pętla,"",0,block_6,,
block_6_trip_3_service_1,route_579,service_1,Pod Fortem,"",1,block_6,,
block_6_trip_4_service_1,route_579,service_1,Chełmońskiego Pętla,"",0,block_6,,
block_6_trip_5_service_1,route_579,service_1,Pod Fortem,"",1,block_6,,
block_6_trip_8_service_1,route_579,service_1,Chełmońskiego Pętla,"",0,block_6,,
block_6_trip_9_service_1,route_579,service_1,Pod Fortem,"",1,block_6,,
block_6_trip_10_service_1,route_579,service_1,Chełmońskiego Pętla,"",0,block_6,,
block_6_trip_11_service_1,route_579,service_1,Pod Fortem,"",1,block_6,,
block_15_trip_2_service_1,route_595,service_1,Rżąka,"",1,block_15,,
block_15_trip_3_service_1,route_595,service_1,Os.Piastów,"",0,block_15,,
block_15_trip_4_service_1,route_595,service_1,Rżąka,"",1,block_15,,
block_15_trip_5_service_1,route_595,service_1,Os.Piastów,"",0,block_15,,
block_15_trip_6_service_1,route_595,service_1,Rżąka,"",1,block_15,,
block_15_trip_7_service_1,route_595,service_1,Os.Piastów,"",0,block_15,,
block_15_trip_8_service_1,route_595,service_1,Rżąka,"",1,block_15,,
block_15_trip_9_service_1,route_595,service_1,Os.Piastów,"",0,block_15,,
block_15_trip_10_service_1,route_595,service_1,Rżąka,"",1,block_15,,
block_15_trip_11_service_1,route_595,service_1,Os.Piastów,"",0,block_15,,
block_15_trip_12_service_1,route_595,service_1,Rżąka,"",1,block_15,,
block_15_trip_13_service_1,route_595,service_1,Os.Piastów,"",0,block_15,,
block_22_trip_2_service_1,route_583,service_1,Mydlniki,"",0,block_22,,
block_22_trip_3_service_1,route_583,service_1,Kombinat,"",1,block_22,,
block_22_trip_4_service_1,route_583,service_1,Mydlniki,"",0,block_22,,
block_22_trip_5_service_1,route_583,service_1,Kombinat,"",1,block_22,,
block_22_trip_6_service_1,route_583,service_1,Mydlniki,"",0,block_22,,
block_22_trip_7_service_1,route_583,service_1,Kombinat,"",1,block_22,,
block_22_trip_8_service_1,route_583,service_1,Mydlniki,"",0,block_22,,
block_22_trip_9_service_1,route_583,service_1,Kombinat,"",1,block_22,,
block_22_trip_10_service_1,route_583,service_1,Mydlniki,"",0,block_22,,
block_22_trip_11_service_1,route_583,service_1,Kombinat,"",1,block_22,,
block_22_trip_12_service_1,route_583,service_1,Mydlniki,"",0,block_22,,
block_22_trip_13_service_1,route_583,service_1,Struga,"",1,block_22,,
block_34_trip_2_service_1,route_603,service_1,Kombinat,"",0,block_34,,
block_34_trip_3_service_1,route_603,service_1,Os.Kurdwanów,"",1,block_34,,
block_34_trip_4_service_1,route_603,service_1,Kombinat,"",0,block_34,,
block_34_trip_5_service_1,route_603,service_1,Os.Kurdwanów,"",1,block_34,,
block_34_trip_6_service_1,route_603,service_1,Kombinat,"",0,block_34,,
block_34_trip_7_service_1,route_603,service_1,Os.Kurdwanów,"",1,block_34,,
block_34_trip_8_service_1,route_603,service_1,Kombinat,"",0,block_34,,
block_34_trip_9_service_1,route_603,service_1,Os.Kurdwanów,"",1,block_34,,
block_34_trip_10_service_1,route_603,service_1,Kombinat,"",0,block_34,,
block_34_trip_11_service_1,route_603,service_1,Os.Kurdwanów,"",1,block_34,,
block_34_trip_12_service_1,route_603,service_1,Kombinat,"",0,block_34,,
block_34_trip_13_service_1,route_603,service_1,Os.Kurdwanów,"",1,block_34,,
block_34_trip_14_service_1,route_603,service_1,Kombinat,"",0,block_34,,
block_34_trip_15_service_1,route_603,service_1,Os.Kurdwanów,"",1,block_34,,
block_34_trip_16_service_1,route_603,service_1,Kombinat,"",0,block_34,,
block_45_trip_2_service_1,route_113,service_1,Czułówek Kapliczka,"",0,block_45,,
block_45_trip_3_service_1,route_113,service_1,Salwator,"",1,block_45,,
block_45_trip_4_service_1,route_113,service_1,Rybna Dolna,"",0,block_45,,
block_45_trip_5_service_1,route_113,service_1,Salwator,"",1,block_45,,
block_45_trip_10_service_1,route_113,service_1,Rybna Dolna,"",0,block_45,,
block_45_trip_11_service_1,route_113,service_1,Salwator,"",1,block_45,,
block_45_trip_12_service_1,route_113,service_1,Rybna Dolna,"",0,block_45,,
block_45_trip_13_service_1,route_113,service_1,Salwator,"",1,block_45,,
block_52_trip_2_service_1,route_349,service_1,Miejskie Centrum Opieki,"",0,block_52,,
block_52_trip_3_service_1,route_349,service_1,Czerwone Maki P+R,"",1,block_52,,
