trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
block_4_trip_1_service_1,route_58,service_1,Rondo Hipokratesa,"",0,block_4,,
block_4_trip_2_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_4,,
block_4_trip_3_service_1,route_58,service_1,Rondo Hipokratesa,"",1,block_4,,
block_4_trip_4_service_1,route_58,service_1,Zajezdnia Nowa Huta,"",0,block_4,,
block_4_trip_5_service_1,route_58,service_1,Rondo Hipokratesa,"",0,block_4,,
block_4_trip_6_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_4,,
block_4_trip_7_service_1,route_58,service_1,Rondo Hipokratesa,"",1,block_4,,
block_4_trip_8_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_4,,
block_4_trip_9_service_1,route_58,service_1,Rondo Hipokratesa,"",1,block_4,,
block_4_trip_10_service_1,route_58,service_1,Zajezdnia Nowa Huta,"",0,block_4,,
block_5_trip_1_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_5,,
block_5_trip_2_service_1,route_58,service_1,Rondo Hipokratesa,"",1,block_5,,
block_5_trip_3_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_5,,
block_5_trip_4_service_1,route_58,service_1,Rondo Hipokratesa,"",1,block_5,,
block_5_trip_5_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_5,,
block_5_trip_6_service_1,route_58,service_1,Zajezdnia Podgórze,"",0,block_5,,
block_5_trip_7_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_5,,
block_5_trip_8_service_1,route_58,service_1,Rondo Hipokratesa,"",1,block_5,,
block_5_trip_9_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_5,,
block_5_trip_10_service_1,route_58,service_1,Rondo Hipokratesa,"",1,block_5,,
block_5_trip_11_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_5,,
block_5_trip_12_service_1,route_58,service_1,Zajezdnia Podgórze,"",0,block_5,,
block_6_trip_1_service_1,route_58,service_1,Rondo Hipokratesa,"",0,block_6,,
block_6_trip_2_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_6,,
block_6_trip_3_service_1,route_58,service_1,Rondo Hipokratesa,"",1,block_6,,
block_6_trip_4_service_1,route_58,service_1,Nowy Bieżanów P+R,"",0,block_6,,
block_6_trip_5_service_1,route_58,service_1,Rondo Hipokratesa,"",1,block_6,,
block_6_trip_6_service_1,route_58,service_1,Zajezdnia Nowa Huta,"",0,block_6,,
